------------------------------------------------------------
 Velocity Vs Time
------------------------------------------------------------
Time (ps), Velocity (m/s)
               0.565,         14804.812137
               0.566,          15006.25329
               0.567,         15144.186402
               0.568,          15374.34555
               0.569,         15476.520347
                0.57,         15468.435318
               0.571,          15354.84441
               0.572,         15432.344522
               0.573,         15565.672996
               0.574,         15436.933524
               0.575,         15454.340603
               0.576,         15530.241709
               0.577,         15495.784107
               0.578,          15552.10416
               0.579,         15533.075713
                0.58,         15644.632823
               0.581,          15594.72093
               0.582,         15423.348189
               0.583,         15334.278939
               0.584,         15267.460283
               0.585,         15277.774938
               0.586,         15391.528936
               0.587,         15545.711412
               0.588,          15299.66267
               0.589,         15110.647565
                0.59,         15184.736318
               0.591,         15217.145647
               0.592,         15267.568419
               0.593,         15346.967901
               0.594,         15535.109011
               0.595,         15217.840502
               0.596,         15156.443731
               0.597,         15101.370996
               0.598,          15261.52056
               0.599,         15298.839605
                 0.6,         15333.268811
               0.601,         15310.221844
               0.602,         15239.356989
               0.603,         15228.228437
               0.604,          15173.79644
               0.605,         15081.157827
               0.606,         15022.777866
               0.607,          15044.74999
               0.608,         15044.699694
               0.609,         15190.741427
                0.61,         15334.242322
               0.611,         15139.283584
               0.612,         15090.375195
               0.613,         15149.478797
               0.614,         14988.933112
               0.615,          14891.19958
               0.616,         14995.651603
               0.617,         14825.263469
               0.618,          14931.04344
               0.619,         14872.638009
                0.62,         14719.023504
               0.621,         14893.977988
               0.622,          15175.88942
               0.623,         15328.597416
               0.624,         15491.292906
               0.625,         15550.461543
               0.626,          15697.39588
               0.627,         15281.081034
               0.628,         15289.122051
               0.629,         15431.697127
                0.63,         15210.569712
               0.631,         15094.471131
               0.632,         15363.592727
               0.633,         15330.816856
               0.634,         15474.970876
               0.635,         15360.991812
               0.636,         15359.127441
               0.637,         15521.283714
               0.638,         15578.455273
               0.639,         15679.362872
                0.64,         15733.985825
               0.641,         15756.591026
               0.642,         15726.089666
               0.643,          15661.64429
               0.644,         15552.199098
               0.645,         15563.653032
               0.646,         15616.125284
               0.647,         15646.127664
               0.648,         15526.748018
               0.649,         15663.223531
                0.65,         15701.495378
               0.651,          15713.20766
               0.652,         15757.414444
               0.653,         15871.040128
               0.654,         15792.165873
               0.655,         15857.525484
               0.656,         15810.643136
               0.657,         15711.892425
               0.658,         15827.817902
