------------------------------------------------------------
 Velocity Vs Time
------------------------------------------------------------
Time (ps), Velocity (m/s)
               0.363,         12044.957985
               0.364,         11991.150677
               0.365,         12250.916617
               0.366,         12393.398615
               0.367,         12204.403924
               0.368,         12177.079015
               0.369,         12280.451215
                0.37,         12217.048913
               0.371,         12021.391869
               0.372,         12122.359323
               0.373,         12215.053967
               0.374,         12213.556785
               0.375,         12161.964213
               0.376,         12432.244983
               0.377,         12437.463774
               0.378,         12406.031478
               0.379,         12550.869614
                0.38,          12391.61884
               0.381,         12352.097158
               0.382,         12408.600357
               0.383,         12580.100178
               0.384,         12477.086029
               0.385,         12652.373406
               0.386,         12885.269149
               0.387,         12958.541477
               0.388,         13196.169637
               0.389,         13273.266776
                0.39,         13201.610699
               0.391,         13041.851415
               0.392,         13076.169474
               0.393,         12956.073967
               0.394,         13058.492171
               0.395,         12848.809289
               0.396,         12853.860894
               0.397,         12749.339172
               0.398,         12837.313673
               0.399,         12902.780102
                 0.4,         12883.850185
               0.401,         13182.655101
               0.402,         13420.575594
               0.403,         13358.130172
               0.404,          13167.42985
               0.405,         13352.820551
               0.406,         13245.472906
               0.407,         13001.076843
               0.408,         12956.485595
               0.409,         12837.620735
                0.41,         12788.423051
               0.411,         12730.485666
               0.412,         12807.865627
               0.413,         12786.411511
               0.414,          12628.80225
               0.415,         12515.871375
               0.416,         12402.765252
               0.417,         12288.940667
               0.418,         12330.211565
               0.419,         12444.374241
                0.42,         12291.265766
               0.421,         12196.743352
               0.422,         12144.181505
               0.423,         12190.056824
               0.424,         12319.675851
               0.425,         12447.213045
               0.426,         12023.234534
               0.427,         12207.027252
               0.428,         12230.415819
               0.429,         12093.034528
                0.43,         12326.173942
               0.431,         12391.983178
               0.432,         12489.165741
               0.433,         12561.467567
               0.434,         12666.639324
               0.435,         12834.094223
               0.436,         12785.512195
               0.437,         12921.745916
               0.438,         12951.354172
               0.439,         12952.841696
                0.44,         12855.021158
               0.441,         12966.392179
               0.442,         13049.183049
               0.443,         12919.182613
               0.444,         12930.559794
               0.445,          12949.10686
               0.446,          13095.52855
               0.447,         12786.694843
               0.448,         12691.680425
               0.449,         12499.908492
                0.45,          12461.66124
               0.451,         12698.227181
               0.452,         12568.534953
               0.453,          12534.06573
               0.454,         12794.531262
               0.455,         12974.923255
               0.456,         12938.810938
               0.457,          13072.82745
               0.458,         13078.290675
               0.459,         12984.593534
                0.46,         13045.763418
               0.461,         12894.371446
               0.462,         12977.518403
               0.463,         13124.246005
               0.464,         13249.760671
               0.465,         13148.755508
               0.466,         13166.350656
               0.467,         13084.225486
               0.468,         13063.556095
               0.469,         13262.727155
                0.47,         13197.219139
               0.471,         13254.829076
               0.472,         13276.733352
               0.473,         13039.388446
               0.474,         13092.628019
               0.475,          13081.99463
               0.476,         13130.414452
               0.477,          13216.72716
               0.478,         13332.471162
               0.479,         13429.700185
                0.48,         13352.308944
               0.481,         13395.542421
               0.482,         13349.437766
               0.483,         13091.909729
               0.484,         13321.751725
               0.485,         13296.576833
               0.486,         13302.093898
               0.487,         13474.025779
               0.488,         13493.880902
               0.489,         13513.795656
                0.49,         13320.608592
               0.491,         13366.669654
               0.492,         13165.343558
               0.493,         13275.832057
               0.494,         13159.834378
               0.495,         13376.387497
               0.496,         13523.925227
               0.497,         13728.284139
               0.498,         13753.863311
               0.499,         13901.723729
                 0.5,          13815.71415
               0.501,         13740.629392
               0.502,         13809.977512
               0.503,          13784.49221
               0.504,         14002.805649
               0.505,         14029.978686
               0.506,         14125.651646
               0.507,          14206.25783
               0.508,         14211.314511
               0.509,         14238.810318
                0.51,         14336.779276
               0.511,          14688.11336
               0.512,         14579.599783
               0.513,         14696.565064
               0.514,         14653.096429
               0.515,         14746.200724
               0.516,         14615.829622
               0.517,         14447.923497
               0.518,         14451.468454
               0.519,           14515.5692
                0.52,         14514.406735
               0.521,         14480.534385
               0.522,         14629.946835
               0.523,         14756.974025
               0.524,         14665.810928
               0.525,         14755.676778
               0.526,         14608.947287
               0.527,         14513.461299
               0.528,          14420.26564
               0.529,         14491.638893
                0.53,         14793.325334
               0.531,         14802.283245
               0.532,         14500.902042
               0.533,         14461.335769
               0.534,         14575.357666
               0.535,         14594.445517
               0.536,         14589.595929
               0.537,         14479.462873
               0.538,         14582.953287
               0.539,         14540.783372
                0.54,         14181.280958
               0.541,         14149.850922
               0.542,         14280.080031
               0.543,         14494.769138
               0.544,         14554.581742
               0.545,         14633.455383
               0.546,         14653.918176
               0.547,         14661.187542
               0.548,         14724.288474
               0.549,         14804.317834
                0.55,          14722.51788
               0.551,         14835.897812
               0.552,         15044.697001
               0.553,         15073.533584
               0.554,         15032.502223
               0.555,         14827.414942
               0.556,         14627.801654
               0.557,         14484.858123
               0.558,          14529.21515
               0.559,         14560.799718
                0.56,         14406.212959
               0.561,          14085.61776
               0.562,         13875.776339
               0.563,         13963.437483
               0.564,         13813.506286
               0.565,         13942.852294
               0.566,         13963.368584
               0.567,         14037.012698
               0.568,         14213.847027
               0.569,         14118.331471
                0.57,         13995.057307
               0.571,          14005.37354
               0.572,         14000.223816
               0.573,         14078.444169
               0.574,         14205.032946
               0.575,         14040.273398
               0.576,         14012.279575
               0.577,         13924.076092
               0.578,         14181.325001
               0.579,         14142.410961
                0.58,         14048.085602
               0.581,         13924.562033
               0.582,         13829.740816
               0.583,         13981.292351
               0.584,         14041.273019
               0.585,         14114.571749
               0.586,         14253.690115
               0.587,         14360.943347
               0.588,         14402.639844
               0.589,         14310.794755
                0.59,         14209.168979
               0.591,         14013.548318
               0.592,          14055.17992
               0.593,         14343.171067
