------------------------------------------------------------
 Velocity Vs Time
------------------------------------------------------------
Time (ps), Velocity (m/s)
               0.866,         16760.989152
               0.867,         16755.052041
               0.868,         16770.724516
               0.869,         16900.272647
                0.87,          16718.30776
               0.871,         16557.736786
               0.872,         16669.044856
               0.873,         16422.069469
               0.874,         16187.665663
               0.875,         16219.368442
               0.876,         16081.527908
               0.877,          16138.65826
               0.878,         16091.276799
               0.879,         16277.541586
                0.88,         16525.214319
               0.881,         16702.045232
               0.882,         16839.281703
               0.883,         16703.307099
               0.884,          16615.30201
               0.885,         16623.724419
               0.886,         16459.287506
               0.887,         16401.859823
               0.888,         16593.842704
               0.889,         16514.874331
                0.89,         16566.210096
               0.891,         16577.993131
               0.892,         16463.361579
               0.893,         16371.876755
               0.894,         16488.633322
               0.895,         16696.809413
               0.896,         16958.720333
               0.897,         16727.375313
               0.898,         16638.390174
               0.899,         16627.714728
                 0.9,         16826.802189
               0.901,         16835.148287
               0.902,          16813.11892
               0.903,         16804.109964
               0.904,          16885.08432
               0.905,         16858.689861
               0.906,         16616.427463
               0.907,         16699.324205
               0.908,         16611.723512
               0.909,          16511.84343
                0.91,         16259.119692
               0.911,         16225.525408
               0.912,         16234.528256
               0.913,         16190.656977
               0.914,         16293.941312
               0.915,         16188.761027
               0.916,         16411.347942
               0.917,         16456.475137
               0.918,         16194.729327
               0.919,         16179.064458
                0.92,         16211.294726
               0.921,         16164.682882
               0.922,         16061.559657
               0.923,         16148.416877
               0.924,         16192.798245
               0.925,         16175.062866
               0.926,          16288.69287
               0.927,         16376.150657
               0.928,         16468.676858
               0.929,         16386.251065
                0.93,         16411.320107
               0.931,         16336.463304
               0.932,         16494.252401
               0.933,         16484.813539
               0.934,         16097.042262
               0.935,         16157.432841
               0.936,         16044.253178
               0.937,         16132.633063
               0.938,         15933.761056
               0.939,         16287.963827
                0.94,         16301.420545
               0.941,         16327.955701
               0.942,         16223.927504
               0.943,         15960.252293
               0.944,         16080.641366
               0.945,         16372.780393
               0.946,         16467.250721
               0.947,         16386.791804
               0.948,         16231.716557
               0.949,         16238.778401
                0.95,         16191.942354
               0.951,         16293.869878
               0.952,         16272.903065
               0.953,         16581.713366
               0.954,         16637.697042
               0.955,         16525.513046
               0.956,         16572.168842
               0.957,         16863.485628
               0.958,         17053.427148
               0.959,         17244.354378
                0.96,         17376.541253
               0.961,         17302.252686
               0.962,         17430.099459
               0.963,         17575.863055
               0.964,         17763.771137
               0.965,         17877.484932
               0.966,         18135.882759
               0.967,         17876.758901
               0.968,         17804.577627
               0.969,         17753.597142
                0.97,         17780.233006
               0.971,         17704.141505
               0.972,         17614.748438
               0.973,         17362.277137
               0.974,         17379.603598
               0.975,         17475.741344
               0.976,         17532.699383
               0.977,         17392.447881
               0.978,         17515.381018
               0.979,         17543.270509
                0.98,         17491.794463
               0.981,         17660.988632
               0.982,         17958.951595
               0.983,         17915.568155
               0.984,         18135.004497
               0.985,         18204.486104
               0.986,         17913.980072
               0.987,         18001.579554
               0.988,         18088.349547
               0.989,         18268.388265
                0.99,         18239.601531
               0.991,         18386.073026
               0.992,         18388.932164
               0.993,          18426.26441
               0.994,         18463.498638
               0.995,         18566.564034
               0.996,         18333.850858
               0.997,         18091.275566
               0.998,         18300.861721
               0.999,         18425.965832

